Playlist,Song,SongID,Artist,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Trump,Saturday Night’s Alright (For Fighting) - Remastered 2014,0LHItNoPqjxWcbvQzw9NIv,Elton John,0.0195,0.513,295.466,0.979,0.0951,0,0.0906,-6.362,1,0.0425,152.875,4,0.94
Trump,Devil's Sidewalk,3VhbXc2lxqGQyLmn1YfFd8,Neil Young,0.398,0.656,317.76,0.538,1.85e-05,2,0.101,-10.132,1,0.027,128.844,4,0.54
Trump,All Right Now,1gcESexgftSuLuML57Y69q,Free,0.221,0.787,330.643,0.472,0.000336,2,0.153,-12.824,1,0.0832,120.059,4,0.824
Trump,Only In America,3e41nkMyqcAwaQCXJVj87G,Brooks & Dunn,0.0661,0.512,268.613,0.886,0.00165,4,0.863,-5.906,1,0.0402,137.763,4,0.693
Trump,She’s A Rainbow - Remastered 2017 / Stereo,500cBxmsfXyCUB081x39co,The Rolling Stones,0.547,0.466,274.933,0.81,0.017,10,0.431,-7.669,1,0.0411,109.16,4,0.58
Trump,I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,Tom Petty,0.0504,0.765,178.36,0.476,2.76e-06,7,0.165,-13.487,1,0.0329,114.02,4,0.965
Trump,In the End,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,0.00958,0.556,216.88,0.864,0,3,0.209,-5.87,0,0.0584,105.143,4,0.4
Trump,God Bless The U.S.A.,623lYBOJ7bLwh1bu3yeN5V,Lee Greenwood,0.0873,0.299,191.6,0.422,0,5,0.182,-9.977,1,0.0285,67.797,4,0.168
Trump,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,The Rolling Stones,0.64,0.32,448.72,0.62,6.36e-05,0,0.253,-9.686,1,0.0594,86.327,4,0.472
Trump,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,Elton John,0.356,0.504,183.44,0.904,0.121,6,0.14,-6.863,1,0.179,176.808,4,0.772
Trump,"Bright Lights, Big City",0mMGlvdLkwsbFakW4OLqUF,Neil Young,0.065,0.531,138.333,0.663,0.00439,5,0.22,-10.774,1,0.0583,118.69,4,0.491
Trump,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,Tom Petty,0.212,0.623,256.0,0.449,0,5,0.0613,-13.333,1,0.0253,84.383,4,0.572
Trump,Let's Spend The Night Together,2FkBzncOXWo7pnN8oqm7Wx,The Rolling Stones,0.689,0.566,215.76,0.795,0,7,0.249,-7.755,1,0.0498,140.859,4,0.572
Trump,In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb,Phil Collins,0.551,0.446,336.453,0.239,4.1e-06,0,0.0697,-13.945,1,0.0316,189.507,4,0.298
